1                     36.792361 35.908638 
2                     28.007625 27.338975 
3                     21.381229 20.895571 
4                     17.341053 16.953947 
5                     15.066720 14.731180 
6                     13.068622 12.789578 
7                     11.593841 11.335558 
8                     10.666099 10.416201 
9                     9.861527 9.640572 
10                    9.290167 9.074533 
11                    8.813715 8.626185 
12                    8.333784 8.092816 
