1                     77,000000 1,000000 
2                     57,000000 0,000000 
3                     41,500000 0,500000 
4                     33,000000 0,000000 
5                     27,000000 0,000000 
6                     23,500000 0,500000 
7                     21,500000 1,500000 
8                     20,000000 2,000000 
9                     19,500000 1,500000 
10                    17,000000 2,000000 
11                    16,500000 1,500000 
12                    16,000000 1,000000 
